,CBi [TJ/M.Euro],Cities [MWh],Towns and suburbs [MWh],Rural areas [MWh]
CP01,879.4538660845053,433.5055005027977,470.99775721815126,506.8714181798148
CP02,46.56411802038963,5.7381637816237445,5.494757097979405,5.896036836876428
CP03,35.13703185330254,9.3014543803986,8.77104887942045,6.903803076858553
CP04,4985.544422441374,8055.15027217665,6991.894056761697,5812.121181204308
CP05,603.953942562377,132.3131023558728,158.9847922212243,158.22163937470216
CP06,105.84141567910288,12.076843633507945,12.970095495174995,11.553310831008561
CP07,1220.2202521422641,891.078583649522,1013.4751114066344,1284.003123853145
CP08,90.8177533478976,7.046565123098673,7.831557203665024,8.723770742006199
CP09,1146.6233518224572,497.1668716166461,541.2250521636886,455.5887418276497
CP10,133.2848900869653,1.824987807611929,1.2098587875986828,0.5819581132286586
CP11,19.98844578393721,4.014112108031209,3.1751982044720353,2.4436998765703977
CP12,3835.8189366430215,1050.4300655555062,1114.1966343178387,988.1455506797661
