sector,CBi
Paddy rice,47.18941361206128
Wheat,58.73808336024766
Cereal grains nec,44.281694680591464
"Vegetables, fruit, nuts",112.04612442433037
Oil seeds,39.33320556969019
Crops nec,94.41595242216775
Cattle,81.08604572268437
Meat animals nec,53.28204156142535
Animal products nec,135.6890855484023
Raw milk,51.47992715191908
"Products of forestry, logging and related services (02)",53.39583058401078
Fish and other fishing products; services incidental of fishing (05),50.74876867611593
"Coal, peat",386.65901138687144
"Crude petroleum and services related to crude oil extraction, excluding surveying",164.3546627612025
"Natural gas and services related to natural gas extraction, excluding surveying",312.68760221935844
Mining & Quarrying,95.37432653932225
Meat products,41.06797795572247
products of Vegetable oils and fats,102.64437028589084
Dairy products,45.92615848747598
"Other food, beverages, tobacco",46.56411802038963
"Textiles, apparel, furs, leather",35.13703185330254
Wood and products of wood and cork (except furniture); articles of straw and plaiting materials,43.98373395371736
Pulp,218.5218097647059
Paper and paper products,138.2053093219184
Printed matter and recorded media (22),28.66747759878447
Coke and Tar,106.23494163621481
Petroleum products,368.740454222189
Nuclear fuel,64.5189819716212
"Plastics, basic",797.7501507641671
N-fertiliser,100.87766898682074
P- and other fertiliser,109.4214967022378
Chemicals nec,144.33575947775793
Charcoal,48.874210485501976
Biofuels,143.78196519994262
Rubber and plastic products (25),51.38898975754435
"Glass, tiles, ceramics, bricks",86.70689889861237
"Cement, lime and plaster",89.34139394373872
Other non-metallic mineral products,102.40421067601284
Basic iron and steel and of ferro-alloys and first products thereof,116.9372461265553
Precious metals,39.76417617534664
Aluminium and aluminium products,182.62535165721306
Other metals and products thereof,102.91848913702962
"Secondary lead for treatment, Re-processing of secondary lead into new lead",104.66822907353543
Foundry work services,52.14839916825386
"Fabricated metal products, except machinery and equipment (28)",131.1681494954084
Machinery and equipment n.e.c. (29),228.71282360238587
Office machinery and computers (30),89.5682625403232
"Electrical machinery, audiovisual, and medical equipment",134.72921425628152
Vehicles and transport equipment,160.95349421892345
Furniture; other manufactured goods n.e.c. (36),89.8409184280954
Secondary raw materials,127.44631527159866
Electricity by coal,279.6075460680028
Electricity by gas and petroleum products,457.2373660257003
Electricity by nuclear,0.0
Electricity by hydro,367.44215918850614
Electricity by wind,1195.7385072396141
Transmission and distribution of electricity,11.06097267928032
"Produced gas (Gas works, Blast ovens, etc.)",601.6946050027171
Distribution services of gaseous fuels through mains,439.5441732965672
Steam and hot water supply services,883.8041152802831
"Collected and purified water, distribution services of water (41)",57.21410217418254
Construction work (45),279.7731503584028
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries, fuel stations",36.015473032990386
"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",12.345559320836308
"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",15.11262255413694
Hotel and restaurant services (55),19.98844578393721
Railway transportation services,39.26925608896834
Other land transportation services,46.366184165183284
Transportation services via pipelines,44.311439128336396
Sea and coastal water transportation services,150.36825015099163
Inland water transportation services,28327.550188678604
Air transport services (62),110.37051230187299
Supporting and auxiliary transport services; travel agency services (63),41.287214259549714
Post and telecommunication services (64),20.40612890607706
"Financial intermediation services, insurances",13.18669667753396
Real estate services (70),19.63210710396752
Renting services of machinery and equipment without operator and of personal and household goods (71),46.826601475078625
Computer and related services (72),70.41162444182054
Research and development services (73),117.48087767630722
Other business services (74),31.16032264551367
Public administration and defence services; compulsory social security services (75),277.8604551335775
Education services (80),133.2848900869653
Health and social work services (85),105.84141567910287
Waste incineration,77.075657857211
Waste for treatment: biogasification and land application,0.0
Composting and land application,69.21084505727416
Landfill,64.2523233907018
Membership organisation services n.e.c. (91),624.0514607645142
"Recreational, cultural and sporting services (92)",173.10718845327605
Other services (93),23.86930919437705
Private households with employed persons (95),3.2020811100273177
Extra-territorial organizations and bodies,0.0
